Elapsed Time : 291.54, Accuracy : 18.15
Elapsed Time : 292.54, Accuracy : 18.09
Elapsed Time : 293.54, Accuracy : 18.03
Elapsed Time : 294.54, Accuracy : 17.97
Elapsed Time : 295.54, Accuracy : 17.91
Elapsed Time : 296.55, Accuracy : 17.85
Elapsed Time : 297.55, Accuracy : 17.79
Elapsed Time : 298.55, Accuracy : 17.73
Elapsed Time : 299.55, Accuracy : 17.67
Elapsed Time : 300.55, Accuracy : 17.61
Elapsed Time : 301.55, Accuracy : 17.55
Elapsed Time : 302.55, Accuracy : 17.49
Elapsed Time : 303.55, Accuracy : 17.43
Elapsed Time : 304.56, Accuracy : 17.38
Elapsed Time : 305.56, Accuracy : 17.32
Elapsed Time : 306.56, Accuracy : 17.26
Elapsed Time : 307.56, Accuracy : 17.21
Elapsed Time : 308.56, Accuracy : 17.15
Elapsed Time : 309.57, Accuracy : 17.10
Elapsed Time : 310.57, Accuracy : 17.04
Elapsed Time : 311.57, Accuracy : 16.99
Elapsed Time : 312.57, Accuracy : 16.93
Elapsed Time : 313.57, Accuracy : 16.88
Elapsed Time : 314.57, Accuracy : 16.83
Elapsed Time : 315.57, Accuracy : 16.77
Elapsed Time : 316.58, Accuracy : 16.72
Elapsed Time : 317.58, Accuracy : 16.67
Elapsed Time : 318.58, Accuracy : 16.61
Elapsed Time : 319.58, Accuracy : 16.56
Elapsed Time : 320.58, Accuracy : 16.51
Elapsed Time : 321.58, Accuracy : 16.46
Elapsed Time : 322.58, Accuracy : 16.41
Elapsed Time : 323.58, Accuracy : 16.36
Elapsed Time : 324.59, Accuracy : 16.31
Elapsed Time : 325.59, Accuracy : 16.26
Elapsed Time : 326.59, Accuracy : 16.21
Elapsed Time : 327.59, Accuracy : 16.16
Elapsed Time : 328.59, Accuracy : 16.11
Elapsed Time : 329.59, Accuracy : 16.06
Elapsed Time : 330.59, Accuracy : 16.01
Elapsed Time : 331.59, Accuracy : 15.96
Elapsed Time : 332.60, Accuracy : 15.92
Elapsed Time : 333.60, Accuracy : 15.87
Elapsed Time : 334.60, Accuracy : 15.82
Elapsed Time : 335.60, Accuracy : 15.77
Elapsed Time : 336.60, Accuracy : 15.73
Elapsed Time : 337.60, Accuracy : 15.68
Elapsed Time : 338.60, Accuracy : 15.63
Elapsed Time : 339.60, Accuracy : 15.59
Elapsed Time : 340.61, Accuracy : 15.54
Elapsed Time : 341.61, Accuracy : 15.50
Elapsed Time : 342.61, Accuracy : 15.45
Elapsed Time : 343.61, Accuracy : 15.41
Elapsed Time : 344.61, Accuracy : 15.36
Elapsed Time : 345.61, Accuracy : 15.32
Elapsed Time : 346.61, Accuracy : 15.27
Elapsed Time : 347.61, Accuracy : 15.23
Elapsed Time : 348.62, Accuracy : 15.19
Elapsed Time : 349.62, Accuracy : 15.14
Elapsed Time : 350.62, Accuracy : 15.10
Elapsed Time : 351.62, Accuracy : 15.06
Elapsed Time : 352.62, Accuracy : 15.01
Elapsed Time : 353.62, Accuracy : 14.97
Elapsed Time : 354.62, Accuracy : 14.93
Elapsed Time : 355.63, Accuracy : 14.89
Elapsed Time : 356.63, Accuracy : 14.85
Elapsed Time : 357.63, Accuracy : 14.80
Elapsed Time : 358.63, Accuracy : 14.76
Elapsed Time : 359.63, Accuracy : 14.72
